Card Family,Parallel,Seq.
Base,Sky Blue,499
Base,Neon Green,399
Base,Fusica,299
Base,Purple,250
Base,Blue,150
Base,Green,99
Base,Yellow,75
Base,Gold,50
Base,Orange,25
Base,Red,5
Base,Platinum,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Paper Prospects,Camo,
Paper Prospects,Sky Blue,499
Paper Prospects,Neon Green,399
Paper Prospects,Fusica,299
Paper Prospects,Purple,250
Paper Prospects,Blue,150
Paper Prospects,Green,99
Paper Prospects,Yellow,75
Paper Prospects,Gold,50
Paper Prospects,Orange,25
Paper Prospects,Red,5
Paper Prospects,Platinum,1
Paper Prospects,Printing Plate Black,1
Paper Prospects,Printing Plate Cyan,1
Paper Prospects,Printing Plate Magenta,1
Paper Prospects,Printing Plate Yellow,1
Chrome Prospects,Atomic Refractor,
Chrome Prospects,Refractor,499
Chrome Prospects,Speckle Refractor,299
Chrome Prospects,Purple Refractor,250
Chrome Prospects,Fuchsia Refractor,199
Chrome Prospects,Fuchsia Shimmer Refractor,199
Chrome Prospects,Blue Refractor,150
Chrome Prospects,Blue Shimmer Refractor,150
Chrome Prospects,Aqua Refractor,125
Chrome Prospects,Aqua Shimmer Refractor,125
Chrome Prospects,Green Refractor,99
Chrome Prospects,Green Shimmer Refractor,99
Chrome Prospects,Green Mini-Diamond Refractor,99
Chrome Prospects,Yellow Refractor,75
Chrome Prospects,Yellow Mini-Diamond Refractor,75
Chrome Prospects,Gold Refractor,50
Chrome Prospects,Gold Shimmer Refractor,50
Chrome Prospects,Orange Refractor,25
Chrome Prospects,Orange Shimmer Refractor,25
Chrome Prospects,Red Shimmer Refractor,5
Chrome Prospects,Red Refractor,5
Chrome Prospects,Printing Plate Black,1
Chrome Prospects,Printing Plate Cyan,1
Chrome Prospects,Printing Plate Magenta,1
Chrome Prospects,Printing Plate Yellow,1
Chrome Prospects,Superfractor,1
Chrome Prospects Prospector's Die-Cut Variation,Base,49
Chrome Prospect Autographs,Refractor,499
Chrome Prospect Autographs,Speckle Refractor,299
Chrome Prospect Autographs,Purple Refractor,250
Chrome Prospect Autographs,Blue Refractor,150
Chrome Prospect Autographs,Atomic Refractor,100
Chrome Prospect Autographs,Green Refractor,99
Chrome Prospect Autographs,Green Shimmer Refractor,99
Chrome Prospect Autographs,Yellow Refractor,75
Chrome Prospect Autographs,Gold Refractor,50
Chrome Prospect Autographs,Gold Shimmer Refractor,50
Chrome Prospect Autographs,Orange Refractor,25
Chrome Prospect Autographs,Orange Shimmer Refractor,25
Chrome Prospect Autographs,Red Refractor,5
Chrome Prospect Autographs,Red Shimmer Refractor,5
Chrome Prospect Autographs,Printing Plate Black,1
Chrome Prospect Autographs,Printing Plate Cyan,1
Chrome Prospect Autographs,Printing Plate Magenta,1
Chrome Prospect Autographs,Printing Plate Yellow,1
Chrome Prospect Autographs,Superfractor,1
Paper Prospect Autographs,Purple,250
Paper Prospect Autographs,Blue,150
Paper Prospect Autographs,Green,99
Paper Prospect Autographs,Gold,50
Paper Prospect Autographs,Orange,25
Paper Prospect Autographs,Red,5
Paper Prospect Autographs,Platinum,1
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Blue Refractor,150
Chrome Rookie Autographs,Atomic Refractor,100
Chrome Rookie Autographs,Green Refractor,99
Chrome Rookie Autographs,Yellow Refractor,75
Chrome Rookie Autographs,Gold Refractor,50
Chrome Rookie Autographs,Orange Refractor,25
Chrome Rookie Autographs,Red Refractor,5
Chrome Rookie Autographs,Printing Plate Black,1
Chrome Rookie Autographs,Printing Plate Cyan,1
Chrome Rookie Autographs,Printing Plate Magenta,1
Chrome Rookie Autographs,Printing Plate Yellow,1
Chrome Rookie Autographs,Superfractor,1
1991 Bowman Autographs,Superfractor,1
Bowman Scouts Top 100 Autographs,Superfractor,1
Dual Bowman Prospects Autographs,Base,25
Dual Bowman Prospects Autographs,Superfractor,1
Positional Promise Autographs,Base,99
Positional Promise Autographs,Orange,25
Positional Promise Autographs,Red Refractor,5
Positional Promise Autographs,Superfractor,1
ROY Favorites Autographs,Base,150
ROY Favorites Autographs,Gold Refractor,50
ROY Favorites Autographs,Orange Refractor,25
ROY Favorites Autographs,Red Refractor,5
ROY Favorites Autographs,Superfractor,1
Ultimate Autograph Book,Base,10
All-America Game Autographs,Base,199
1991 Bowman,Atomic Refractor,150
1991 Bowman,Aqua Refractor,125
1991 Bowman,Green Refractor,99
1991 Bowman,Gold Refractor,50
1991 Bowman,Orange Refractor,25
1991 Bowman,Red Refractor,5
1991 Bowman,Superfractor,1
Bowman Scouts Top 100,Atomic Refractor,150
Bowman Scouts Top 100,Aqua Refractor,125
Bowman Scouts Top 100,Green Refractor,99
Bowman Scouts Top 100,Gold Refractor,50
Bowman Scouts Top 100,Orange Refractor,25
Bowman Scouts Top 100,Red Refractor,5
Bowman Scouts Top 100,Superfractor,1
Futurist,Atomic Refractor,150
Futurist,Aqua Refractor,125
Futurist,Green Refractor,99
Futurist,Gold Refractor,50
Futurist,Orange Refractor,25
Futurist,Red Refractor,5
Futurist,Superfractor,1
Positional Promise,Atomic Refractor,150
Positional Promise,Aqua Refractor,125
Positional Promise,Gold Refractor,50
Positional Promise,Orange Refractor,25
Positional Promise,Red Refractor,5
Positional Promise,Superfractor,1
ROY Favorites,Atomic Refractor,150
ROY Favorites,Aqua Refractor,125
ROY Favorites,Green Refractor,99
ROY Favorites,Gold Refractor,50
ROY Favorites,Orange Refractor,25
ROY Favorites,Red Refractor,5
ROY Favorites,Superfractor,1
Talent Pipeline,Atomic Refractor,150
Talent Pipeline,Aqua Refractor,125
Talent Pipeline,Green Refractor,99
Talent Pipeline,Gold Refractor,50
Talent Pipeline,Orange Refractor,25
Talent Pipeline,Red Refractor,5
Talent Pipeline,Superfractor,1
