Card Set,Number,Player,Team,Seq.
Autographs,0,DUMMY,No Team,
Autographs Black Pulsar,1,Nerlens Noel,Philadelphia 76ers,1
Autographs Black Pulsar,2,Brandan Wright,Dallas Mavericks,1
Autographs Black Pulsar,3,Trey Burke,Utah Jazz,1
Autographs Black Pulsar,4,Gorgui Dieng,Minnesota Timberwolves,1
Autographs Black Pulsar,5,Kobe Bryant,Los Angeles Lakers,1
Autographs Black Pulsar,6,John Thompson,Boston Celtics,1
Autographs Black Pulsar,7,Kevin McHale,Boston Celtics,1
Autographs Black Pulsar,8,Bill Walton,Portland Trail Blazers,1
Autographs Black Pulsar,9,Victor Oladipo,Orlando Magic,1
Autographs Black Pulsar,10,David Thompson,Denver Nuggets,1
Autographs Black Pulsar,11,Joe Johnson,Brooklyn Nets,1
Autographs Black Pulsar,12,Bill Willoughby,San Antonio Spurs,1
Autographs Black Pulsar,13,Brent Barry,Seattle Supersonics,1
Autographs Black Pulsar,14,Tim Hardaway Jr.,New York Knicks,1
Autographs Black Pulsar,15,Kevin Durant,Oklahoma City Thunder,1
Autographs Black Pulsar,16,Tony Allen,Memphis Grizzlies,1
Autographs Black Pulsar,17,Hakeem Olajuwon,Houston Rockets,1
Autographs Black Pulsar,18,Glen Rice,Charlotte Hornets,1
Autographs Black Pulsar,19,Cody Zeller,Charlotte Hornets,1
Autographs Black Pulsar,20,Steven Adams,Oklahoma City Thunder,1
Autographs Black Pulsar,21,Kentavious Caldwell-Pope,Detroit Pistons,1
Autographs Black Pulsar,22,Udonis Haslem,Miami Heat,1
Autographs Black Pulsar,23,James Harden,Houston Rockets,1
Autographs Black Pulsar,24,Jae Crowder,Dallas Mavericks,1
Autographs Black Pulsar,25,Dwyane Wade,Miami Heat,1
Autographs Black Pulsar,26,Kelly Tripucka,Detroit Pistons,1
Autographs Black Pulsar,27,Jason Kidd,Dallas Mavericks,1
Autographs Black Pulsar,28,JaVale McGee,Denver Nuggets,1
Autographs Black Pulsar,29,Otto Porter,Washington Wizards,1
Autographs Black Pulsar,30,Phil Chenier,Washington Bullets,1
Autographs Black Pulsar,31,Michael Finley,Dallas Mavericks,1
Autographs Black Pulsar,32,Kenny Anderson,Portland Trail Blazers,1
Autographs Black Pulsar,33,Shabazz Muhammad,Minnesota Timberwolves,1
Autographs Black Pulsar,34,Ray McCallum,Sacramento Kings,1
Autographs Black Pulsar,35,Karl Malone,Utah Jazz,1
Autographs Black Pulsar,36,Nate Archibald,Kansas City Kings,1
Autographs Black Pulsar,37,Kevin Love,Cleveland Cavaliers,1
Autographs Black Pulsar,38,Ralph Sampson,Houston Rockets,1
Autographs Black Pulsar,39,Alex Len,Phoenix Suns,1
Autographs Black Pulsar,40,Brook Lopez,Brooklyn Nets,1
Autographs Black Pulsar,41,Nate Thurmond,Golden State Warriors,1
Autographs Black Pulsar,42,Otis Birdsong,Kansas City Kings,1
Autographs Black Pulsar,43,Jason Terry,Houston Rockets,1
Autographs Black Pulsar,44,Carrick Felix,Utah Jazz,1
Autographs Black Pulsar,45,Kyrie Irving,Cleveland Cavaliers,1
Autographs Black Pulsar,46,Steve Kerr,San Antonio Spurs,1
Autographs Black Pulsar,47,Anthony Bennett,Minnesota Timberwolves,1
Autographs Black Pulsar,48,Kevin Willis,Atlanta Hawks,1
Autographs Black Pulsar,49,Derrick Williams,Sacramento Kings,1
Autographs Black Pulsar,50,Jim Jackson,Atlanta Hawks,1
Autographs Black Pulsar,51,Monta Ellis,Dallas Mavericks,1
Autographs Black Pulsar,52,Michael Cooper,Los Angeles Lakers,1
Autographs Black Pulsar,53,Gail Goodrich,New Orleans Jazz,1
Autographs Black Pulsar,54,Matthew Dellavedova,Cleveland Cavaliers,1
Autographs Black Pulsar,55,John Havlicek,Boston Celtics,1
Autographs Black Pulsar,56,Jared Sullinger,Boston Celtics,1
Autographs Black Pulsar,57,Gary Payton,Seattle Supersonics,1
Autographs Black Pulsar,58,Kurt Rambis,Los Angeles Lakers,1
Autographs Black Pulsar,59,Stephen Curry,Golden State Warriors,1
Autographs Black Pulsar,60,Ron Harper,Cleveland Cavaliers,1
Autographs Black Pulsar,61,C.J. McCollum,Portland Trail Blazers,1
Autographs Black Pulsar,62,Dennis Schroder,Atlanta Hawks,1
Autographs Black Pulsar,63,Elvin Hayes,Houston Rockets,1
Autographs Black Pulsar,64,Phil Pressey,Boston Celtics,1
Autographs Black Pulsar,65,John Wall,Washington Wizards,1
Autographs Black Pulsar,66,Peja Stojakovic,Sacramento Kings,1
Autographs Black Pulsar,67,Dominique Wilkins,Atlanta Hawks,1
Autographs Black Pulsar,68,Reggie Jackson,Oklahoma City Thunder,1
Autographs Black Pulsar,69,Ben McLemore,Sacramento Kings,1
Autographs Black Pulsar,70,Pearl Washington,New Jersey Nets,1
Autographs Black Pulsar,71,Michael Carter-Williams,Philadelphia 76ers,1
Autographs Black Pulsar,72,Vitor Faverani,Boston Celtics,1
Autographs Black Pulsar,73,Jerry Lucas,New York Knicks,1
Autographs Black Pulsar,74,Troy Daniels,Houston Rockets,1
Autographs Black Pulsar,75,Earl Monroe,New York Knicks,1
Autographs Black Pulsar,76,Jabari Parker,Milwaukee Bucks,1
Autographs Black Pulsar,77,Andrew Wiggins,Minnesota Timberwolves,1
Autographs Black Pulsar,78,Julius Randle,Los Angeles Lakers,1
Autographs Black Pulsar,79,Joel Embiid,Philadelphia 76ers,1
Autographs Black Pulsar,80,Marcus Smart,Boston Celtics,1
Autographs Black Pulsar,81,Dante Exum,Utah Jazz,1
Autographs Black Pulsar,82,Aaron Gordon,Orlando Magic,1
Autographs Black Pulsar,83,Noah Vonleh,Charlotte Hornets,1
Autographs Black Pulsar,84,Gary Harris,Denver Nuggets,1
Autographs Black Pulsar,85,Tyler Ennis,Phoenix Suns,1
Autographs Black Pulsar,86,Nik Stauskas,Sacramento Kings,1
Autographs Black Pulsar,87,Doug McDermott,Chicago Bulls,1
Autographs Black Pulsar,88,Bruno Caboclo,Toronto Raptors,1
Autographs Black Pulsar,89,James Young,Boston Celtics,1
Autographs Black Pulsar,90,Zach LaVine,Minnesota Timberwolves,1
Autographs Black Pulsar,91,Spencer Dinwiddie,Detroit Pistons,1
Autographs Black Pulsar,92,Mitch McGary,Oklahoma City Thunder,1
Autographs Black Pulsar,93,Rodney Hood,Utah Jazz,1
Autographs Black Pulsar,94,Cleanthony Early,New York Knicks,1
Autographs Black Pulsar,95,Shabazz Napier,Miami Heat,1
Autographs Black Pulsar,96,Kyle Anderson,San Antonio Spurs,1
Autographs Black Pulsar,97,Adreian Payne,Atlanta Hawks,1
Autographs Black Pulsar,98,Elfrid Payton,Orlando Magic,1
Autographs Black Pulsar,99,T.J. Warren,Phoenix Suns,1
Autographs Black Pulsar,100,C.J. Wilcox,Los Angeles Clippers,1
Autographs Blue Pulsar,1,Nerlens Noel,Philadelphia 76ers,249
Autographs Blue Pulsar,2,Brandan Wright,Dallas Mavericks,149
Autographs Blue Pulsar,3,Trey Burke,Utah Jazz,249
Autographs Blue Pulsar,4,Gorgui Dieng,Minnesota Timberwolves,249
Autographs Blue Pulsar,5,Kobe Bryant,Los Angeles Lakers,75
Autographs Blue Pulsar,6,John Thompson,Boston Celtics,249
Autographs Blue Pulsar,7,Kevin McHale,Boston Celtics,249
Autographs Blue Pulsar,8,Bill Walton,Portland Trail Blazers,149
Autographs Blue Pulsar,9,Victor Oladipo,Orlando Magic,249
Autographs Blue Pulsar,10,David Thompson,Denver Nuggets,249
Autographs Blue Pulsar,11,Joe Johnson,Brooklyn Nets,49
Autographs Blue Pulsar,12,Bill Willoughby,San Antonio Spurs,149
Autographs Blue Pulsar,13,Brent Barry,Seattle Supersonics,249
Autographs Blue Pulsar,14,Tim Hardaway Jr.,New York Knicks,235
Autographs Blue Pulsar,15,Kevin Durant,Oklahoma City Thunder,75
Autographs Blue Pulsar,16,Tony Allen,Memphis Grizzlies,149
Autographs Blue Pulsar,17,Hakeem Olajuwon,Houston Rockets,249
Autographs Blue Pulsar,18,Glen Rice,Charlotte Hornets,249
Autographs Blue Pulsar,19,Cody Zeller,Charlotte Hornets,249
Autographs Blue Pulsar,20,Steven Adams,Oklahoma City Thunder,249
Autographs Blue Pulsar,21,Kentavious Caldwell-Pope,Detroit Pistons,249
Autographs Blue Pulsar,22,Udonis Haslem,Miami Heat,149
Autographs Blue Pulsar,23,James Harden,Houston Rockets,49
Autographs Blue Pulsar,24,Jae Crowder,Dallas Mavericks,249
Autographs Blue Pulsar,25,Dwyane Wade,Miami Heat,249
Autographs Blue Pulsar,26,Kelly Tripucka,Detroit Pistons,149
Autographs Blue Pulsar,27,Jason Kidd,Dallas Mavericks,149
Autographs Blue Pulsar,28,JaVale McGee,Denver Nuggets,249
Autographs Blue Pulsar,29,Otto Porter,Washington Wizards,249
Autographs Blue Pulsar,30,Phil Chenier,Washington Bullets,249
Autographs Blue Pulsar,31,Michael Finley,Dallas Mavericks,249
Autographs Blue Pulsar,32,Kenny Anderson,Portland Trail Blazers,149
Autographs Blue Pulsar,33,Shabazz Muhammad,Minnesota Timberwolves,249
Autographs Blue Pulsar,34,Ray McCallum,Sacramento Kings,249
Autographs Blue Pulsar,35,Karl Malone,Utah Jazz,75
Autographs Blue Pulsar,36,Nate Archibald,Kansas City Kings,149
Autographs Blue Pulsar,37,Kevin Love,Cleveland Cavaliers,49
Autographs Blue Pulsar,38,Ralph Sampson,Houston Rockets,49
Autographs Blue Pulsar,39,Alex Len,Phoenix Suns,249
Autographs Blue Pulsar,40,Brook Lopez,Brooklyn Nets,199
Autographs Blue Pulsar,41,Nate Thurmond,Golden State Warriors,149
