Card Family,Parallel,Seq.
2016 AFL Fall Stars Relics,Orange Refractor,25
2016 AFL Fall Stars Relics,Superfractor,1
2016 AFL Fall Stars,Orange Refractor,25
2016 AFL Fall Stars,Superfractor,1
2016 AFL Fall Stars Autographs,Superfractor,1
2016 AFL Fall Stars Autograph Relics,Superfractor,1
Chrome Autograph Relics,Base,150
Chrome Autograph Relics,Gold,50
Chrome Autograph Relics,Orange Refractor,25
Chrome Autograph Relics,Superfractor,1
Bowman Scouts Updates,Orange Refractor,25
Bowman Scouts Updates,Superfractor,1
Bowman Scouts Updates Autographs,Superfractor,1
Prime Chrome Inscription Autographs,Orange,25
Prime Chrome Inscription Autographs,Superfractor,1
Chrome Prospect Autographs,Black Limited Edition,1
Chrome Prospect Autographs,Blue,150
Chrome Prospect Autographs,Blue Mojo,150
Chrome Prospect Autographs,Gold,50
Chrome Prospect Autographs,Gold Shimmer,50
Chrome Prospect Autographs,Green,99
Chrome Prospect Autographs,Orange,25
Chrome Prospect Autographs,Orange Wave,25
Chrome Prospect Autographs,Purple,250
Chrome Prospect Autographs,Red,5
Chrome Prospect Autographs,Refractor,499
Chrome Prospect Autographs,Superfractor,1
Chrome Prospects,Black Shimmer,1
Chrome Prospects,Blue,150
Chrome Prospects,Blue Shimmer,150
Chrome Prospects,Bowman 70th,
Chrome Prospects,Gold,50
Chrome Prospects,Gold Shimmer,50
Chrome Prospects,Green,99
Chrome Prospects,Green Shimmer,99
Chrome Prospects,Orange,25
Chrome Prospects,Orange Shimmer,25
Chrome Prospects,Purple,250
Chrome Prospects,Purple Shimmer,
Chrome Prospects,Red,5
Chrome Prospects,Refractor,499
Chrome Prospects,Superfractor,1
Refractors That Never Were Autographs,Superfractor,1
Refractors That Never Were,Orange,25
Refractors That Never Were,Superfractor,1
Chrome Rookie Autographs,Blue,150
Chrome Rookie Autographs,Gold,50
Chrome Rookie Autographs,Green,99
Chrome Rookie Autographs,Orange,25
Chrome Rookie Autographs,Red,5
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Superfractor,1
Chrome Sensation Autographs,Gold,50
Chrome Sensation Autographs,Orange,25
Chrome Sensation Autographs,Superfractor,1
Base,Blue,150
Base,Gold,50
Base,Green,99
Base,Orange,25
Base,Purple,250
Base,Red,5
Base,Refractor,499
Base,Superfractor,1
