Card Family,Parallel,Seq.
All-America Game Autographs,Base,99
Bowman Scouts Top 100 Autographs,Base,50
Family Tree Autographs,Base,25
International Ink Autographs,Base,99
Rookie Recollections Autographs,Base,200
Sophomore Standouts Autographs,Base,99
Bowman Scouts Top 100,Gold,50
Bowman Scouts Top 100,Green,99
Bowman Scouts Top 100,Orange,25
Bowman Scouts Top 100,Superfractor,1
Chrome Prospect Autographs,Blue,150
Chrome Prospect Autographs,Gold,50
Chrome Prospect Autographs,Green,99
Chrome Prospect Autographs,Green Shimmer,99
Chrome Prospect Autographs,Light Blue,3
Chrome Prospect Autographs,Orange,25
Chrome Prospect Autographs,Orange Shimmer,10
Chrome Prospect Autographs,Printing Plates Black,1
Chrome Prospect Autographs,Printing Plates Cyan,1
Chrome Prospect Autographs,Printing Plates Magenta,1
Chrome Prospect Autographs,Printing Plates Yellow,1
Chrome Prospect Autographs,Purple,250
Chrome Prospect Autographs,Red,5
Chrome Prospect Autographs,Refractor,
Chrome Prospect Autographs,Superfractor,1
Chrome Prospects,Blue,150
Chrome Prospects,Gold,50
Chrome Prospects,Green,99
Chrome Prospects,Green Shimmer,99
Chrome Prospects,Light Blue,15
Chrome Prospects,Orange,25
Chrome Prospects,Orange Shimmer,25
Chrome Prospects,Printing Plates Black,1
Chrome Prospects,Printing Plates Cyan,1
Chrome Prospects,Printing Plates Magenta,1
Chrome Prospects,Printing Plates Yellow,1
Chrome Prospects,Purple,250
Chrome Prospects,Red,5
Chrome Prospects,Refractor,499
Chrome Prospects,Superfractor,1
Chrome Rookie Autographs,Blue,150
Chrome Rookie Autographs,Gold,50
Chrome Rookie Autographs,Green,99
Chrome Rookie Autographs,Orange,25
Chrome Rookie Autographs,Printing Plates Black,1
Chrome Rookie Autographs,Printing Plates Cyan,1
Chrome Rookie Autographs,Printing Plates Magenta,1
Chrome Rookie Autographs,Printing Plates Yellow,1
Chrome Rookie Autographs,Red,5
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Superfractor,1
Family Tree,Blue,150
Family Tree,Green,99
Family Tree,Metallic,1
Family Tree,Orange,25
Family Tree,Red,5
International Ink,Blue,150
International Ink,Green,99
International Ink,Metallic,1
International Ink,Orange,25
International Ink,Red,5
Paper Prospect Autographs,Gold,50
Paper Prospect Autographs,Green,99
Paper Prospect Autographs,Metallic,1
Paper Prospect Autographs,Orange,25
Paper Prospect Autographs,Purple,250
Paper Prospect Autographs,Red,5
Paper Prospects,Blue,150
Paper Prospects,Gold,50
Paper Prospects,Green,99
Paper Prospects,Metallic,1
Paper Prospects,Orange,25
Paper Prospects,Printing Plates Black,1
Paper Prospects,Printing Plates Cyan,1
Paper Prospects,Printing Plates Magenta,1
Paper Prospects,Printing Plates Yellow,1
Paper Prospects,Purple ,250
Paper Prospects,Red,5
Paper Prospects,Silver,
Paper Prospects,Yellow,
Rookie Recollections Autographs,Gold,50
Rookie Recollections Autographs,Red,5
Rookie Recollections Autographs,Superfractor,1
Rookie Recollections Flashback,Gold,50
Rookie Recollections Flashback,Green,99
Rookie Recollections Flashback,Orange,25
Rookie Recollections Flashback,Superfractor,1
Sophomore Standouts Autographs,Gold,50
Sophomore Standouts Autographs,Red,5
Sophomore Standouts Autographs,Superfractor,1
Sophomore Standouts,Blue,150
Sophomore Standouts,Green,99
Sophomore Standouts,Metallic,1
Sophomore Standouts,Orange,25
Sophomore Standouts,Red,5
Turn Two Autographs,Gold,50
Turn Two Autographs,Red,5
Turn Two Autographs,Superfractor,1
Turn Two,Gold,50
Turn Two,Green,99
Turn Two,Orange,25
Turn Two,Red,5
Turn Two,Superfractor,1
Base,Blue,150
Base,Gold,50
Base,Green,99
Base,Metallic,1
Base,Orange,25
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Base,Purple ,250
Base,Red,5
Base,Silver,
Base,Yellow,
