Card Family,Parallel,Seq.
Bowman Scouts Updates Autographs,Orange Die-Cut,25
Bowman Scouts Updates Autographs,Superfractor Die-Cut,1
Bowman Scouts Updates,Die-Cut,99
Dual Autographs,Base,25
Dual Autographs,Red Refractor,5
Dual Autographs,Superfractor,1
Prime Position Autographs,Gold Refractor,50
Prime Position Autographs,Green Refractor,99
Prime Position Autographs,Orange Refractor,25
Prime Position Autographs,Red Refractor,5
Prime Position Autographs,Superfractor,1
Chrome Prospect Autographs,Blue Refractor,150
Chrome Prospect Autographs,Green Refractor,99
Chrome Prospect Autographs,Orange Refractor,25
Chrome Prospect Autographs,Printing Plate Black,1
Chrome Prospect Autographs,Printing Plate Cyan,1
Chrome Prospect Autographs,Printing Plate Magenta,1
Chrome Prospect Autographs,Printing Plate Yellow,1
Chrome Prospect Autographs,Purple Refractor,250
Chrome Prospect Autographs,Red Refractor,5
Chrome Prospect Autographs,Refractor,499
Chrome Prospect Autographs,Superfractor,1
Chrome Prospect Autographs,Wave Refractor,
Prospect Profile Minis,Gold Refractor,50
Prospect Profile Minis,Green Refractor,99
Prospect Profile Minis,Orange Refractor,25
Prospect Profile Minis,Red Refractor,5
Prospect Profile Minis,Superfractor,1
Chrome Prospects,Blue Refractor,150
Chrome Prospects,Blue Wave Refractor,
Chrome Prospects,Gold Refractor,50
Chrome Prospects,Green Refractor,99
Chrome Prospects,Orange Refractor,25
Chrome Prospects,Orange Wave Refractor,
Chrome Prospects,Printing Plate Black,1
Chrome Prospects,Printing Plate Cyan,1
Chrome Prospects,Printing Plate Magenta,1
Chrome Prospects,Printing Plate Yellow,1
Chrome Prospects,Purple Refractor,250
Chrome Prospects,Red Refractor,5
Chrome Prospects,Refractor,499
Chrome Prospects,Superfractor,1
Chrome Rookie Autographs,Blue Refractor,150
Chrome Rookie Autographs,Gold Refractor,50
Chrome Rookie Autographs,Green Refractor,99
Chrome Rookie Autographs,Orange Refractor,25
Chrome Rookie Autographs,Printing Plate Black,1
Chrome Rookie Autographs,Printing Plate Cyan,1
Chrome Rookie Autographs,Printing Plate Magenta,1
Chrome Rookie Autographs,Printing Plate Yellow,1
Chrome Rookie Autographs,Red Refractor,5
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Superfractor,1
Series Next Autographs,Green Haze Refractor Die-Cut,99
Series Next Autographs,Purple Vapor Refractor Die-Cut,25
Series Next Autographs,Red Torrent Refractor Die-Cut,5
Series Next Autographs,Superfractor Die-Cut,1
Series Next,Green Haze Refractor Die-Cut,99
Series Next,Purple Vapor Refractor Die-Cut,25
Series Next,Red Torrent Refractor Die-Cut,5
Series Next,Superfractor Die-Cut,1
Superfractors That Never Were Autographs,Base,1
Superfractors That Never Were,Base,1
Base,Blue Refractor,150
Base,Gold Refractor,50
Base,Green Refractor,99
Base,Orange Refractor,25
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Base,Purple Refractor,250
Base,Red Refractor,5
Base,Refractor,499
Base,Superfractor,1
