Card Family,Parallel,Seq.
All-American Game Autographs,Base,200
All-Star Futures Game Relics,Base,25
Bowman Black Autographs,Base,25
Bowman Black Autographs,Red,5
Bowman Scouts Top 100,Die-Cut,99
Bowman Scouts Top 100 Autographs,Orange Die-Cut,25
Bowman Scouts Top 100 Autographs,Superfractor Die-Cut,1
Chrome Prospect Autographs,Blue Refractor,150
Chrome Prospect Autographs,Gold Refractor,50
Chrome Prospect Autographs,Green Refractor,99
Chrome Prospect Autographs,Orange Refractor,25
Chrome Prospect Autographs,Printing Plate Black,1
Chrome Prospect Autographs,Printing Plate Cyan,1
Chrome Prospect Autographs,Printing Plate Magenta,1
Chrome Prospect Autographs,Printing Plate Yellow,1
Chrome Prospect Autographs,Purple Refractor,250
Chrome Prospect Autographs,Red Refractor,5
Chrome Prospect Autographs,Refractor,499
Chrome Prospect Autographs,Superfractor,1
Chrome Prospects,Black Refractor,
Chrome Prospects,Black Wave Refractor,
Chrome Prospects,Blue Refractor,150
Chrome Prospects,Blue Wave Refractor,
Chrome Prospects,Gold Refractor,50
Chrome Prospects,Green Refractor,99
Chrome Prospects,Orange Refractor,25
Chrome Prospects,Orange Wave Refractor,
Chrome Prospects,Printing Plate Black,1
Chrome Prospects,Printing Plate Cyan,1
Chrome Prospects,Printing Plate Magenta,1
Chrome Prospects,Printing Plate Yellow,1
Chrome Prospects,Purple Refractor,250
Chrome Prospects,Red Refractor,5
Chrome Prospects,Refractor,499
Chrome Prospects,Superfractor,1
Chrome Rookie Autographs,Blue Refractor,150
Chrome Rookie Autographs,Gold Refractor,50
Chrome Rookie Autographs,Green Refractor,99
Chrome Rookie Autographs,Orange Refractor,25
Chrome Rookie Autographs,Printing Plate Black,1
Chrome Rookie Autographs,Printing Plate Cyan,1
Chrome Rookie Autographs,Printing Plate Magenta,1
Chrome Rookie Autographs,Printing Plate Yellow,1
Chrome Rookie Autographs,Red Refractor,5
Chrome Rookie Autographs,Refractor,499
Chrome Rookie Autographs,Superfractor,1
Rookie Recollection Autographs,Base,99
Rookie Recollection Autographs,Gold Refractor,50
Rookie Recollection Autographs,Red,5
Rookie Recollection Autographs,Superfractor,1
Paper Prospect Autographs,Blue,150
Paper Prospect Autographs,Green,99
Paper Prospect Autographs,Purple,250
Paper Prospect Autographs,Silver,499
Paper Prospect Autographs,Red,5
Paper Prospects,Black,1
Paper Prospects,Black and Red,
Paper Prospects,Blue,150
Paper Prospects,Gold,50
Paper Prospects,Green,99
Paper Prospects,Orange,25
Paper Prospects,Printing Plate Black,1
Paper Prospects,Printing Plate Cyan,1
Paper Prospects,Printing Plate Magenta,1
Paper Prospects,Printing Plate Yellow,1
Paper Prospects,Purple,250
Paper Prospects,Purple Ice,50
Paper Prospects,Red,5
Paper Prospects,Red Ice,5
Paper Prospects,Silver,499
Paper Prospects,Silver Ice,
Paper Prospects,White Ice,1
Paper Prospects,Yellow,
Sophomore Standout Autographs,Base,99
Sophomore Standout Autographs,Black,1
Sophomore Standout Autographs,Gold,50
Sophomore Standout Autographs,Red,5
The Farms Finest Mini Autographs,Gold Shimmer,50
The Farms Finest Mini Autographs,Orange Shimmer,25
The Farms Finest Mini Autographs,Red Shimmer,5
The Farms Finest Mini Autographs,Superfractor,1
The Farms Finest Minis,Blue Shimmer,150
The Farms Finest Minis,Gold Shimmer,50
The Farms Finest Minis,Green Shimmer,99
The Farms Finest Minis,Orange Shimmer,25
The Farms Finest Minis,Purple Shimmer,250
The Farms Finest Minis,Red Shimmer,5
The Farms Finest Minis,Superfractor,1
Base,Black,1
Base,Blue,150
Base,Gold,50
Base,Green,99
Base,Orange,25
Base,Purple,250
Base,Purple Ice,50
Base,Red,5
Base,Red Ice,5
Base,Silver,499
Base,Silver Ice,
Base,White Ice,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
