Card Family,Parallel,Seq.
Base,Refractor,
Base,Prism,
Base,Pink,
Base,X-Fractor,
Base,Negative,
Base,Purple,299
Base,Blue,150
Base,Green,99
Base,Green Wave,99
Base,Blue Wave,75
Base,Gold Refractor,50
Base,Gold Wave,50
Base,Orange,25
Base,Orange Wave,25
Base,Red,5
Base,Red Wave,5
Base,Superfractor,1
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Base SP Image Variations,Green,99
Base SP Image Variations,Gold,50
Base SP Image Variations,Orange,25
Base SP Image Variations,Red,5
Base SP Image Variations,Superfractor,1
Rookie Autographs,Refractor,499
Rookie Autographs,Purple,250
Rookie Autographs,Blue,150
Rookie Autographs,Blue Wave,150
Rookie Autographs,Green,99
Rookie Autographs,Green Wave,99
Rookie Autographs,Gold Refractor,50
Rookie Autographs,Gold Wave,50
Rookie Autographs,Orange,25
Rookie Autographs,Orange Wave,25
Rookie Autographs,Red,5
Rookie Autographs,Red Wave,5
Rookie Autographs,Superfractor,1
Rookie Autographs,Printing Plate Black,1
Rookie Autographs,Printing Plate Cyan,1
Rookie Autographs,Printing Plate Magenta,1
Rookie Autographs,Printing Plate Yellow,1
Dual Rookie Autographs,Base,25
Dual Rookie Autographs,Red,5
Dual Rookie Autographs,Superfractor,1
1985 Topps Baseball Autographs,Orange,25
1985 Topps Baseball Autographs,Red,5
1985 Topps Baseball Autographs,Superfractor,1
1985 Topps Baseball Autographs,Printing Plate Black,1
1985 Topps Baseball Autographs,Printing Plate Cyan,1
1985 Topps Baseball Autographs,Printing Plate Magenta,1
1985 Topps Baseball Autographs,Printing Plate Yellow,1
Freshman Flash Autographs,Base,99
Freshman Flash Autographs,Orange,25
Freshman Flash Autographs,Red,5
Freshman Flash Autographs,Superfractor,1
Freshman Flash Autographs,Printing Plate Black,1
Freshman Flash Autographs,Printing Plate Cyan,1
Freshman Flash Autographs,Printing Plate Magenta,1
Freshman Flash Autographs,Printing Plate Yellow,1
Future Stars Autographs,Orange,25
Future Stars Autographs,Red,5
Future Stars Autographs,Superfractor,1
Future Stars Autographs,Printing Plate Black,1
Future Stars Autographs,Printing Plate Cyan,1
Future Stars Autographs,Printing Plate Magenta,1
Future Stars Autographs,Printing Plate Yellow,1
Topps All-Star Rookie Team Autographs,Orange,25
Topps All-Star Rookie Team Autographs,Red,5
Topps All-Star Rookie Team Autographs,Superfractor,1
Topps All-Star Rookie Team Autographs,Printing Plates,1
Topps All-Star Rookie Team Autographs,Printing Plate Black,1
Topps All-Star Rookie Team Autographs,Printing Plate Cyan,1
Topps All-Star Rookie Team Autographs,Printing Plate Magenta,1
Topps All-Star Rookie Team Autographs,Printing Plate Yellow,1
Retro Rookie Chrome Relics,Green,99
Retro Rookie Chrome Relics,Orange,25
Retro Rookie Chrome Relics,Red,5
Retro Rookie Chrome Relics,Superfractor,1
1985 Topps Baseball,Green,99
1985 Topps Baseball,Gold,50
1985 Topps Baseball,Orange,25
1985 Topps Baseball,Red,5
1985 Topps Baseball,Superfractor,1
Decade of Dominance Die Cut,Green,99
Decade of Dominance Die Cut,Gold,50
Decade of Dominance Die Cut,Orange,25
Decade of Dominance Die Cut,Red,5
Decade of Dominance Die Cut,Superfractor,1
Freshman Flash,Green,99
Freshman Flash,Gold,50
Freshman Flash,Orange,25
Freshman Flash,Red,5
Freshman Flash,Superfractor,1
Future Stars,Green,99
Future Stars,Gold,50
Future Stars,Orange,25
Future Stars,Red,5
Future Stars,Superfractor,1
