Card Family,Parallel,Seq.
Base,Sky Blue,499
Base,Purple,250
Base,Blue,150
Base,Green,99
Base,Gold,50
Base,Orange,25
Base,Red,5
Base,Black,1
Base,Printing Plates,1
Chrome,Refractor,
Chrome,Sky Blue Refractor,
Chrome,Purple Refractor,250
Chrome,Sparkles Refractor,
Chrome,Blue Refractor,150
Chrome,Green Refractor,99
Chrome,Gold Refractor,50
Chrome,Orange Refractor,25
Chrome,Red Refractor,5
Chrome,SuperFractor,1
Chrome,Printing Plates,1
Image Variation Autographs,Base,99
Chrome Draft Pick Autographs,Refractor,499
Chrome Draft Pick Autographs,Purple Refractor,250
Chrome Draft Pick Autographs,Blue Refractor,150
Chrome Draft Pick Autographs,Blue Wave Refractor,150
Chrome Draft Pick Autographs,Green Refractor,99
Chrome Draft Pick Autographs,Black Refractor,75
Chrome Draft Pick Autographs,Sparkles Refractor,71
Chrome Draft Pick Autographs,Gold Refractor,50
Chrome Draft Pick Autographs,Gold Wave Refractor,50
Chrome Draft Pick Autographs,Orange Refractor,25
Chrome Draft Pick Autographs,Red Refractor,5
Chrome Draft Pick Autographs,Red Wave Refractor,5
Chrome Draft Pick Autographs,Black Wave Refractor,1
Chrome Draft Pick Autographs,SuperFractor,1
Chrome Draft Pick Autographs,Printing Plates,1
30th Anniversary Autographs,Base,99
30th Anniversary Autographs,Orange Refractor,25
30th Anniversary Autographs,Red Refractor,5
30th Anniversary Autographs,SuperFractor,1
Class of 2019 Autographs,Base,250
Class of 2019 Autographs,Gold Refractor,50
Class of 2019 Autographs,Red Refractor,5
Class of 2019 Autographs,SuperFractor,1
Draft Night Autographs,Base,99
Draft Night Autographs,Gold Refractor,50
Draft Night Autographs,Orange Refractor,25
Draft Night Autographs,Red Refractor,5
Draft Night Autographs,SuperFractor,1
Bowman Scouts Draft Pick Breakdown Autographs,Base,99
Bowman Scouts Draft Pick Breakdown Autographs,Red Refractor,5
Bowman Scouts Draft Pick Breakdown Autographs,SuperFractor,1
Franchise Futures Dual Autographs,Base,99
Franchise Futures Dual Autographs,Gold Refractor,50
Franchise Futures Dual Autographs,Orange Refractor,25
Franchise Futures Dual Autographs,Red Refractor,5
Franchise Futures Dual Autographs,SuperFractor,1
30th Anniversary,Atomic Refractor,150
30th Anniversary,Orange Refractor,25
30th Anniversary,Red Refractor,5
30th Anniversary,SuperFractor,1
Bowman Scouts Draft Pick Breakdown,Refractor,250
Bowman Scouts Draft Pick Breakdown,Green Refractor,99
Bowman Scouts Draft Pick Breakdown,Gold Refractor,50
Bowman Scouts Draft Pick Breakdown,Red Refractor,5
Bowman Scouts Draft Pick Breakdown,SuperFractor,1
Draft Progression Trios,Refractor,250
Draft Progression Trios,Green Refractor,99
Draft Progression Trios,Gold Refractor,50
Draft Progression Trios,Red Refractor,5
Draft Progression Trios,SuperFractor,1
Franchise Futures,Refractor,250
Franchise Futures,Green Refractor,99
Franchise Futures,Gold Refractor,50
Franchise Futures,Red Refractor,5
Franchise Futures,SuperFractor,1
Top of the Class Box Toppers,Base,99
Top of the Class Box Toppers,Gold Refractor,50
Top of the Class Box Toppers,Red Refractor,5
Top of the Class Box Toppers,SuperFractor,1
Top of the Class Box Toppers Autographs,Base,35
