Card Family,Parallel,Seq.
Autographs,Gold Refractor,50
Autographs,Orange Refractor,25
Autographs,Red Refractor,5
Autographs,SuperFractor,1
Autographs,X-Fractor,125
Base,Gold Refractor,50
Base,Pink Refractor,
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Base,Red Refractor,25
Base,Refractor,250
Base,SuperFractor,1
Base,X-Fractor,99
Rookie Autographs,Blue Refractor,150
Rookie Autographs,Blue Wave Refractor,150
Rookie Autographs,Green Refractor,99
Rookie Autographs,Gold Refractor,50
Rookie Autographs,Gold Wave Refractor,50
Rookie Autographs,Orange Refractor,25
Rookie Autographs,Printing Plates Black,1
Rookie Autographs,Printing Plates Cyan,1
Rookie Autographs,Printing Plates Magenta,1
Rookie Autographs,Printing Plates Yellow,1
Rookie Autographs,Red Refractor,5
Rookie Autographs,Red Wave Refractor,5
Rookie Autographs,SuperFractor,1
