Card Family,Parallel,Seq.
Base,Sky Blue,499
Base,Purple,250
Base,Blue,150
Base,Green,99
Base,Gold,50
Base,Orange,25
Base,Red,5
Base,Black,1
Base,Printing Plates,1
Chrome,Refractor,
Chrome,Asia Refractor,
Chrome,Sky Blue Refractor,402
Chrome,Purple Refractor,250
Chrome,Sparkles Refractor,
Chrome,Blue Refractor,150
Chrome,Green Refractor,99
Chrome,Gold Refractor,50
Chrome,Orange Refractor,25
Chrome,Red Refractor,5
Chrome,SuperFractor,1
Chrome,Printing Plates,1
Image Variation Autographs,Base,99
Chrome Draft Pick Autographs,Refractor,499
Chrome Draft Pick Autographs,Purple Refractor,250
Chrome Draft Pick Autographs,Blue Refractor,150
Chrome Draft Pick Autographs,Blue Wave Refractor,150
Chrome Draft Pick Autographs,Green Refractor,99
Chrome Draft Pick Autographs,Black Refractor,75
Chrome Draft Pick Autographs,Sparkles Refractor,71
Chrome Draft Pick Autographs,Gold Refractor,50
Chrome Draft Pick Autographs,Gold Wave Refractor,50
Chrome Draft Pick Autographs,Orange Refractor,25
Chrome Draft Pick Autographs,Red Refractor,5
Chrome Draft Pick Autographs,Red Wave Refractor,5
Chrome Draft Pick Autographs,Black Wave Refractor,1
Chrome Draft Pick Autographs,SuperFractor,1
Chrome Draft Pick Autographs,Printing Plates,1
20th Anniversary Autographs,Base,99
20th Anniversary Autographs,Red Refractor,5
20th Anniversary Autographs,SuperFractor,1
Bowman Sterling Continuity Autographs,Base,99
Bowman Sterling Continuity Autographs,Orange Refractor,25
Bowman Sterling Continuity Autographs,Red Refractor,5
Bowman Sterling Continuity Autographs,SuperFractor,1
Class of 2018 Autographs,Base,250
Class of 2018 Autographs,Gold Refractor,50
Class of 2018 Autographs,Red Refractor,5
Class of 2018 Autographs,SuperFractor,1
Draft Night Autographs,Base,99
Draft Night Autographs,Gold Refractor,50
Draft Night Autographs,Red Refractor,5
Draft Night Autographs,SuperFractor,1
Recommended Viewing Dual Autograph,Base,99
Recommended Viewing Dual Autograph,Gold Refractor,50
Recommended Viewing Dual Autograph,Red Refractor,5
Recommended Viewing Dual Autograph,SuperFractor,1
All-American Game Autographs,Base,199
20th Anniversary,Refractor,250
20th Anniversary,Gold Refractor,50
20th Anniversary,Red Refractor,5
20th Anniversary,SuperFractor,1
Bowman Sterling Continuity,Atomic,150
Bowman Sterling Continuity,Orange Refractor,25
Bowman Sterling Continuity,Red Refractor,5
Bowman Sterling Continuity,SuperFractor,1
Franchise Futures,Refractor,250
Franchise Futures,Gold Refractor,50
Franchise Futures,Red Refractor,5
Franchise Futures,SuperFractor,1
Recommended Viewing,Refractor,250
Recommended Viewing,Gold Refractor,50
Recommended Viewing,Red Refractor,5
Recommended Viewing,SuperFractor,1
Top of the Class Box Toppers,Base,99
Top of the Class Box Toppers,Gold Refractor,50
Top of the Class Box Toppers,Red Refractor,5
Top of the Class Box Toppers,SuperFractor,1
Top of the Class Box Toppers Autographs,Base,35
